,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,state,family,edad
41,0,2,female,1,0,21.0,S,Mrs,2,2
42,0,3,male,0,0,7.8958,C,Mr,1,2
43,1,2,female,1,2,41.5792,C,Miss,4,0
44,1,3,female,0,0,7.8792,Q,Miss,1,1
45,0,3,male,0,0,8.05,S,Mr,1,2
46,0,3,male,1,0,15.5,Q,Mr,2,2
47,1,3,female,0,0,7.75,Q,Miss,1,0
48,0,3,male,2,0,21.6792,C,Mr,3,2
49,0,3,female,1,0,17.8,S,Mrs,2,1
50,0,3,male,4,1,39.6875,S,Master,6,0
51,0,3,male,0,0,7.8,S,Mr,1,1
52,1,1,female,1,0,76.7292,C,Mrs,2,5
53,1,2,female,1,0,26.0,S,Mrs,2,2
54,0,1,male,0,1,61.9792,C,Mr,2,5
55,1,1,male,0,0,35.5,S,Mr,1,4
56,1,2,female,0,0,10.5,S,Miss,1,1
57,0,3,male,0,0,7.2292,C,Mr,1,2
58,1,2,female,1,2,27.75,S,Miss,4,0
59,0,3,male,5,2,46.9,S,Master,8,0
60,0,3,male,0,0,7.2292,C,Mr,1,1
61,1,1,female,0,0,80.0,,Miss,1,4
62,0,1,male,1,0,83.475,S,Mr,2,5
63,0,3,male,3,2,27.9,S,Master,6,0
64,0,1,male,0,0,27.7208,C,Mr,1,4
65,1,3,male,1,1,15.2458,C,Master,3,0
66,1,2,female,0,0,10.5,S,Mrs,1,2
67,0,3,male,0,0,8.1583,S,Mr,1,1
68,1,3,female,4,2,7.925,S,Miss,7,0
69,0,3,male,2,0,8.6625,S,Mr,3,2
70,0,2,male,0,0,10.5,S,Mr,1,3
71,0,3,female,5,2,46.9,S,Miss,8,0
72,0,2,male,0,0,73.5,S,Mr,1,1
73,0,3,male,1,0,14.4542,C,Mr,2,2
74,1,3,male,0,0,56.4958,S,Mr,1,3
75,0,3,male,0,0,7.65,S,Mr,1,2
76,0,3,male,0,0,7.8958,S,Mr,1,2
77,0,3,male,0,0,8.05,S,Mr,1,2
78,1,2,male,0,2,29.0,S,Master,3,0
79,1,3,female,0,0,12.475,S,Miss,1,3
80,0,3,male,0,0,9.0,S,Mr,1,1
81,1,3,male,0,0,9.5,S,Mr,1,2
82,1,3,female,0,0,7.7875,Q,Miss,1,0
83,0,1,male,0,0,47.1,S,Mr,1,2
84,1,2,female,0,0,10.5,S,Miss,1,0
85,1,3,female,3,0,15.85,S,Mrs,4,3
86,0,3,male,1,3,34.375,S,Mr,5,0
87,0,3,male,0,0,8.05,S,Mr,1,2
88,1,1,female,3,2,263.0,S,Miss,6,1
89,0,3,male,0,0,8.05,S,Mr,1,1
90,0,3,male,0,0,8.05,S,Mr,1,2
91,0,3,male,0,0,7.8542,S,Mr,1,1
92,0,1,male,1,0,61.175,S,Mr,2,5
93,0,3,male,1,2,20.575,S,Mr,4,2
94,0,3,male,0,0,7.25,S,Mr,1,5
95,0,3,male,0,0,8.05,S,Mr,1,2
96,0,1,male,0,0,34.6542,C,Mr,1,5
97,1,1,male,0,1,63.3583,C,Mr,2,1
98,1,2,female,0,1,23.0,S,Mrs,2,4
99,0,2,male,1,0,26.0,S,Mr,2,4
100,0,3,female,0,0,7.8958,S,Miss,1,2
101,0,3,male,0,0,7.8958,S,Mr,1,2
102,0,1,male,0,1,77.2875,S,Mr,2,1
103,0,3,male,0,0,8.6542,S,Mr,1,3
104,0,3,male,2,0,7.925,S,Mr,3,4
105,0,3,male,0,0,7.8958,S,Mr,1,2
106,1,3,female,0,0,7.65,S,Miss,1,1
107,1,3,male,0,0,7.775,S,Mr,1,2
108,0,3,male,0,0,7.8958,S,Mr,1,4
109,1,3,female,1,0,24.15,Q,Miss,2,0
110,0,1,male,0,0,52.0,S,Mr,1,5
111,0,3,female,1,0,14.4542,C,Miss,2,0
112,0,3,male,0,0,8.05,S,Mr,1,1
113,0,3,female,1,0,9.825,S,Miss,2,1
114,0,3,female,0,0,14.4583,C,Miss,1,0
115,0,3,male,0,0,7.925,S,Mr,1,1
116,0,3,male,0,0,7.75,Q,Mr,1,5
117,0,2,male,1,0,21.0,S,Mr,2,2
118,0,1,male,0,1,247.5208,C,Mr,2,1
119,0,3,female,4,2,31.275,S,Miss,7,0
120,0,2,male,2,0,73.5,S,Mr,3,1
121,0,3,male,0,0,8.05,S,Mr,1,2
122,0,2,male,1,0,30.0708,C,Mr,2,3
123,1,2,female,0,0,13.0,S,Miss,1,3
124,0,1,male,0,1,77.2875,S,Mr,2,5
125,1,3,male,1,0,11.2417,C,Master,2,0
126,0,3,male,0,0,7.75,Q,Mr,1,2
127,1,3,male,0,0,7.1417,S,Mr,1,1
128,1,3,female,1,1,22.3583,C,Miss,3,0
129,0,3,male,0,0,6.975,S,Mr,1,5
130,0,3,male,0,0,7.8958,C,Mr,1,3
131,0,3,male,0,0,7.05,S,Mr,1,1
132,0,3,female,1,0,14.5,S,Mrs,2,5
133,1,2,female,1,0,26.0,S,Mrs,2,2
134,0,2,male,0,0,13.0,S,Mr,1,2
135,0,2,male,0,0,15.0458,C,Mr,1,1
136,1,1,female,0,2,26.2833,S,Miss,3,1
137,0,1,male,1,0,53.1,S,Mr,2,4
138,0,3,male,0,0,9.2167,S,Mr,1,0
139,0,1,male,0,0,79.2,C,Mr,1,1
140,0,3,female,0,2,15.2458,C,Mrs,3,3
141,1,3,female,0,0,7.75,S,Miss,1,1
142,1,3,female,1,0,15.85,S,Mrs,2,1
143,0,3,male,0,0,6.75,Q,Mr,1,1
144,0,2,male,0,0,11.5,S,Mr,1,1
145,0,2,male,1,1,36.75,S,Mr,3,1
146,1,3,male,0,0,7.7958,S,Mr,1,2
147,0,3,female,2,2,34.375,S,Miss,5,0
148,0,2,male,0,2,26.0,S,Mr,3,4
149,0,2,male,0,0,13.0,S,Mr,1,4
150,0,2,male,0,0,12.525,S,Mr,1,5
151,1,1,female,1,0,66.6,S,Mrs,2,1
152,0,3,male,0,0,8.05,S,Mr,1,5
153,0,3,male,0,2,14.5,S,Mr,3,4
154,0,3,male,0,0,7.3125,S,Mr,1,2
155,0,1,male,0,1,61.3792,C,Mr,2,5
156,1,3,female,0,0,7.7333,Q,Miss,1,0
157,0,3,male,0,0,8.05,S,Mr,1,3
158,0,3,male,0,0,8.6625,S,Mr,1,2
159,0,3,male,8,2,69.55,S,Master,11,0
160,0,3,male,0,1,16.1,S,Mr,2,5
161,1,2,female,0,0,15.75,S,Mrs,1,4
162,0,3,male,0,0,7.775,S,Mr,1,2
163,0,3,male,0,0,8.6625,S,Mr,1,0
164,0,3,male,4,1,39.6875,S,Master,6,0
165,1,3,male,0,2,20.525,S,Master,3,0
166,1,1,female,0,1,55.0,S,Mrs,2,4
167,0,3,female,1,4,27.9,S,Mrs,6,5
168,0,1,male,0,0,25.925,S,Mr,1,4
169,0,3,male,0,0,56.4958,S,Mr,1,2
170,0,1,male,0,0,33.5,S,Mr,1,5
171,0,3,male,4,1,29.125,Q,Master,6,0
172,1,3,female,1,1,11.1333,S,Miss,3,0
173,0,3,male,0,0,7.925,S,Mr,1,1
174,0,1,male,0,0,30.6958,C,Mr,1,5
175,0,3,male,1,1,7.8542,S,Mr,3,1
176,0,3,male,3,1,25.4667,S,Master,5,0
177,0,1,female,0,0,28.7125,C,Miss,1,5
178,0,2,male,0,0,13.0,S,Mr,1,3
179,0,3,male,0,0,0.0,S,Mr,1,4
180,0,3,female,8,2,69.55,S,Miss,11,0
181,0,2,male,0,0,15.05,C,Mr,1,3
182,0,3,male,4,2,31.3875,S,Master,7,0
183,1,2,male,2,1,39.0,S,Master,4,0
184,1,3,female,0,2,22.025,S,Miss,3,0
185,0,1,male,0,0,50.0,S,Mr,1,4
186,1,3,female,1,0,15.5,Q,Mrs,2,3
187,1,1,male,0,0,26.55,S,Mr,1,5
188,0,3,male,1,1,15.5,Q,Mr,3,4
189,0,3,male,0,0,7.8958,S,Mr,1,4
190,1,2,female,0,0,13.0,S,Mrs,1,3
191,0,2,male,0,0,13.0,S,Mr,1,1
192,1,3,female,1,0,7.8542,S,Miss,2,1
193,1,2,male,1,1,26.0,S,Master,3,0
194,1,1,female,0,0,27.7208,C,Mrs,1,5
195,1,1,female,0,0,146.5208,C,Miss,1,5
196,0,3,male,0,0,7.75,Q,Mr,1,2
197,0,3,male,0,1,8.4042,S,Mr,2,4
198,1,3,female,0,0,7.75,Q,Miss,1,0
199,0,2,female,0,0,13.0,S,Mrs,1,1
200,0,3,male,0,0,9.5,S,Mr,1,2
201,0,3,male,8,2,69.55,S,Mr,11,2
202,0,3,male,0,0,6.4958,S,Mr,1,4
203,0,3,male,0,0,7.225,C,Mr,1,5
204,1,3,male,0,0,8.05,S,Mr,1,1
205,0,3,female,0,1,10.4625,S,Miss,2,0
206,0,3,male,1,0,15.85,S,Mr,2,3
207,1,3,male,0,0,18.7875,C,Mr,1,2
208,1,3,female,0,0,7.75,Q,Miss,1,0
209,1,1,male,0,0,31.0,C,Mr,1,4
210,0,3,male,0,0,7.05,S,Mr,1,1
211,1,2,female,0,0,21.0,S,Miss,1,4
212,0,3,male,0,0,7.25,S,Mr,1,1
213,0,2,male,0,0,13.0,S,Mr,1,3
214,0,3,male,1,0,7.75,Q,Mr,2,2
215,1,1,female,1,0,113.275,C,Miss,2,3
216,1,3,female,0,0,7.925,S,Miss,1,2
217,0,2,male,1,0,27.0,S,Mr,2,4
218,1,1,female,0,0,76.2917,C,Miss,1,3
219,0,2,male,0,0,10.5,S,Mr,1,3
220,1,3,male,0,0,8.05,S,Mr,1,0
221,0,2,male,0,0,13.0,S,Mr,1,2
222,0,3,male,0,0,8.05,S,Mr,1,5
223,0,3,male,0,0,7.8958,S,Mr,1,2
224,1,1,male,1,0,90.0,S,Mr,2,4
225,0,3,male,0,0,9.35,S,Mr,1,1
226,1,2,male,0,0,10.5,S,Mr,1,1
227,0,3,male,0,0,7.25,S,Mr,1,1
228,0,2,male,0,0,13.0,S,Mr,1,1
229,0,3,female,3,1,25.4667,S,Miss,5,0
230,1,1,female,1,0,83.475,S,Mrs,2,4
231,0,3,male,0,0,7.775,S,Mr,1,2
232,0,2,male,0,0,13.5,S,Mr,1,5
233,1,3,female,4,2,31.3875,S,Miss,7,0
234,0,2,male,0,0,10.5,S,Mr,1,1
235,0,3,female,0,0,7.55,S,Miss,1,0
236,0,2,male,1,0,26.0,S,Mr,2,5
237,1,2,female,0,2,26.25,S,Mr,3,0
238,0,2,male,0,0,10.5,S,Mr,1,1
239,0,2,male,0,0,12.275,S,Mr,1,3
240,0,3,female,1,0,14.4542,C,Miss,2,0
241,1,3,female,1,0,15.5,Q,Miss,2,0
242,0,2,male,0,0,10.5,S,Mr,1,2
243,0,3,male,0,0,7.125,S,Mr,1,1
244,0,3,male,0,0,7.225,C,Mr,1,3
245,0,1,male,2,0,90.0,Q,Mr,3,5
246,0,3,female,0,0,7.775,S,Miss,1,2
247,1,2,female,0,2,14.5,S,Mrs,3,1
248,1,1,male,1,1,52.5542,S,Mr,3,4
249,0,2,male,1,0,26.0,S,Mr,2,5
250,0,3,male,0,0,7.25,S,Mr,1,2
251,0,3,female,1,1,10.4625,S,Mrs,3,2
252,0,1,male,0,0,26.55,S,Mr,1,5
253,0,3,male,1,0,16.1,S,Mr,2,3
254,0,3,female,0,2,20.2125,S,Mrs,3,4
255,1,3,female,0,2,15.2458,C,Mrs,3,2
256,1,1,female,0,0,79.2,C,Mrs,1,4
257,1,1,female,0,0,86.5,S,Miss,1,3
258,1,1,female,0,0,512.3292,C,Miss,1,4
259,1,2,female,0,1,26.0,S,Mrs,2,5
260,0,3,male,0,0,7.75,Q,Mr,1,2
261,1,3,male,4,2,31.3875,S,Master,7,0
262,0,1,male,1,1,79.65,S,Mr,3,5
263,0,1,male,0,0,0.0,S,Mr,1,4
264,0,3,female,0,0,7.75,Q,Miss,1,0
265,0,2,male,0,0,10.5,S,Mr,1,4
266,0,3,male,4,1,39.6875,S,Mr,6,0
267,1,3,male,1,0,7.775,S,Mr,2,2
268,1,1,female,0,1,153.4625,S,Mrs,2,5
269,1,1,female,0,0,135.6333,S,Miss,1,4
270,0,1,male,0,0,31.0,S,Mr,1,4
271,1,3,male,0,0,0.0,S,Mr,1,2
272,1,2,female,0,1,19.5,S,Mrs,2,4
273,0,1,male,0,1,29.7,C,Mr,2,4
274,1,3,female,0,0,7.75,Q,Miss,1,0
275,1,1,female,1,0,77.9583,S,Miss,2,5
276,0,3,female,0,0,7.75,S,Miss,1,5
277,0,2,male,0,0,0.0,S,Mr,1,3
278,0,3,male,4,1,29.125,Q,Master,6,0
279,1,3,female,1,1,20.25,S,Mrs,3,4
280,0,3,male,0,0,7.75,Q,Mr,1,5
281,0,3,male,0,0,7.8542,S,Mr,1,2
282,0,3,male,0,0,9.5,S,Mr,1,0
283,1,3,male,0,0,8.05,S,Mr,1,1
284,0,1,male,0,0,26.0,S,Mr,1,4
285,0,3,male,0,0,8.6625,C,Mr,1,3
286,1,3,male,0,0,9.5,S,Mr,1,3
287,0,3,male,0,0,7.8958,S,Mr,1,1
288,1,2,male,0,0,13.0,S,Mr,1,4
289,1,3,female,0,0,7.75,Q,Miss,1,1
290,1,1,female,0,0,78.85,S,Miss,1,2
291,1,1,female,1,0,91.0792,C,Mrs,2,1
292,0,2,male,0,0,12.875,C,Mr,1,4
293,0,3,female,0,0,8.85,S,Miss,1,1
294,0,3,male,0,0,7.8958,S,Mr,1,1
295,0,1,male,0,0,27.7208,C,Mr,1,4
296,0,3,male,0,0,7.2292,C,Mr,1,1
297,0,1,female,1,2,151.55,S,Miss,4,0
298,1,1,male,0,0,30.5,S,Mr,1,4
299,1,1,female,0,1,247.5208,C,Mrs,2,5
300,1,3,female,0,0,7.75,Q,Miss,1,0
301,1,3,male,2,0,23.25,Q,Mr,3,2
302,0,3,male,0,0,0.0,S,Mr,1,1
303,1,2,female,0,0,12.35,Q,Miss,1,1
304,0,3,male,0,0,8.05,S,Mr,1,2
305,1,1,male,1,2,151.55,S,Master,4,0
306,1,1,female,0,0,110.8833,C,Miss,1,3
307,1,1,female,1,0,108.9,C,Mrs,2,0
308,0,2,male,1,0,24.0,C,Mr,2,3
309,1,1,female,0,0,56.9292,C,Miss,1,3
310,1,1,female,0,0,83.1583,C,Miss,1,1
311,1,1,female,2,2,262.375,C,Miss,5,1
312,0,2,female,1,1,26.0,S,Mrs,3,2
313,0,3,male,0,0,7.8958,S,Mr,1,2
314,0,2,male,1,1,26.25,S,Mr,3,5
315,1,3,female,0,0,7.8542,S,Miss,1,2
316,1,2,female,1,0,26.0,S,Mrs,2,1
317,0,2,male,0,0,14.0,S,Mr,1,5
318,1,1,female,0,2,164.8667,S,Miss,3,3
319,1,1,female,1,1,134.5,C,Mrs,3,4
320,0,3,male,0,0,7.25,S,Mr,1,1
321,0,3,male,0,0,7.8958,S,Mr,1,2
322,1,2,female,0,0,12.35,Q,Miss,1,3
323,1,2,female,1,1,29.0,S,Mrs,3,1
324,0,3,male,8,2,69.55,S,Mr,11,2
325,1,1,female,0,0,135.6333,C,Miss,1,4
326,0,3,male,0,0,6.2375,S,Mr,1,5
327,1,2,female,0,0,13.0,S,Mrs,1,4
328,1,3,female,1,1,20.525,S,Mrs,3,3
329,1,1,female,0,1,57.9792,C,Miss,2,0
330,1,3,female,2,0,23.25,Q,Miss,3,0
331,0,1,male,0,0,28.5,S,Mr,1,5
332,0,1,male,0,1,153.4625,S,Mr,2,4
333,0,3,male,2,0,18.0,S,Mr,3,0
334,1,1,female,1,0,133.65,S,Mrs,2,4
335,0,3,male,0,0,7.8958,S,Mr,1,2
336,0,1,male,1,0,66.6,S,Mr,2,2
337,1,1,female,0,0,134.5,C,Miss,1,4
338,1,3,male,0,0,8.05,S,Mr,1,5
339,0,1,male,0,0,35.5,S,Mr,1,5
340,1,2,male,1,1,26.0,S,Master,3,0
341,1,1,female,3,2,263.0,S,Miss,6,1
342,0,2,male,0,0,13.0,S,Mr,1,2
343,0,2,male,0,0,13.0,S,Mr,1,2
344,0,2,male,0,0,13.0,S,Mr,1,4
345,1,2,female,0,0,13.0,S,Miss,1,1
346,1,2,female,0,0,13.0,S,Miss,1,4
347,1,3,female,1,0,16.1,S,Mrs,2,3
348,1,3,male,1,1,15.9,S,Master,3,0
349,0,3,male,0,0,8.6625,S,Mr,1,4
350,0,3,male,0,0,9.225,S,Mr,1,1
351,0,1,male,0,0,35.0,S,Mr,1,4
352,0,3,male,1,1,7.2292,C,Mr,3,0
353,0,3,male,1,0,17.8,S,Mr,2,2
354,0,3,male,0,0,7.225,C,Mr,1,2
355,0,3,male,0,0,9.5,S,Mr,1,2
356,1,1,female,0,1,55.0,S,Miss,2,1
357,0,2,female,0,0,13.0,S,Miss,1,4
358,1,3,female,0,0,7.8792,Q,Miss,1,0
359,1,3,female,0,0,7.8792,Q,Miss,1,0
360,0,3,male,1,4,27.9,S,Mr,6,4
361,0,2,male,1,0,27.7208,C,Mr,2,2
362,0,3,female,0,1,14.4542,C,Mrs,2,5
363,0,3,male,0,0,7.05,S,Mr,1,4
364,0,3,male,1,0,15.5,Q,Mr,2,2
365,0,3,male,0,0,7.25,S,Mr,1,3
366,1,1,female,1,0,75.25,C,Mrs,2,5
367,1,3,female,0,0,7.2292,C,Mrs,1,3
368,1,3,female,0,0,7.75,Q,Miss,1,0
369,1,1,female,0,0,69.3,C,Mrs,1,1
370,1,1,male,1,0,55.4417,C,Mr,2,2
371,0,3,male,1,0,6.4958,S,Mr,2,1
372,0,3,male,0,0,8.05,S,Mr,1,1
373,0,1,male,0,0,135.6333,C,Mr,1,1
374,0,3,female,3,1,21.075,S,Miss,5,0
375,1,1,female,1,0,82.1708,C,Mrs,2,4
376,1,3,female,0,0,7.25,S,Miss,1,1
377,0,1,male,0,2,211.5,C,Mr,3,2
378,0,3,male,0,0,4.0125,C,Mr,1,1
379,0,3,male,0,0,7.775,S,Mr,1,1
380,1,1,female,0,0,227.525,C,Miss,1,4
381,1,3,female,0,2,15.7417,C,Miss,3,0
382,0,3,male,0,0,7.925,S,Mr,1,3
383,1,1,female,1,0,52.0,S,Mrs,2,4
384,0,3,male,0,0,7.8958,S,Mr,1,2
385,0,2,male,0,0,73.5,S,Mr,1,1
386,0,3,male,5,2,46.9,S,Master,8,0
387,1,2,female,0,0,13.0,S,Miss,1,4
388,0,3,male,0,0,7.7292,Q,Mr,1,2
389,1,2,female,0,0,12.0,C,Miss,1,0
390,1,1,male,1,2,120.0,S,Mr,4,4
391,1,3,male,0,0,7.7958,S,Mr,1,1
392,0,3,male,2,0,7.925,S,Mr,3,2
393,1,1,female,1,0,113.275,C,Miss,2,1
394,1,3,female,0,2,16.7,S,Mrs,3,1
395,0,3,male,0,0,7.7958,S,Mr,1,1
396,0,3,female,0,0,7.8542,S,Miss,1,3
397,0,2,male,0,0,26.0,S,Mr,1,5
398,0,2,male,0,0,10.5,S,Mr,1,1
399,1,2,female,0,0,12.65,S,Mrs,1,2
400,1,3,male,0,0,7.925,S,Mr,1,4
401,0,3,male,0,0,8.05,S,Mr,1,2
402,0,3,female,1,0,9.825,S,Miss,2,1
403,0,3,male,1,0,15.85,S,Mr,2,2
404,0,3,female,0,0,8.6625,S,Miss,1,1
405,0,2,male,1,0,21.0,S,Mr,2,4
406,0,3,male,0,0,7.75,S,Mr,1,5
407,1,2,male,1,1,18.75,S,Master,3,0
408,0,3,male,0,0,7.775,S,Mr,1,1
409,0,3,female,3,1,25.4667,S,Miss,5,0
410,0,3,male,0,0,7.8958,S,Mr,1,2
411,0,3,male,0,0,6.8583,Q,Mr,1,2
412,1,1,female,1,0,90.0,Q,Miss,2,3
413,0,2,male,0,0,0.0,S,Mr,1,3
414,1,3,male,0,0,7.925,S,Mr,1,5
415,0,3,female,0,0,8.05,S,Mrs,1,3
416,1,2,female,1,1,32.5,S,Mrs,3,4
417,1,2,female,0,2,13.0,S,Miss,3,1
418,0,2,male,0,0,13.0,S,Mr,1,3
419,0,3,female,0,2,24.15,S,Miss,3,0
420,0,3,male,0,0,7.8958,C,Mr,1,2
421,0,3,male,0,0,7.7333,Q,Mr,1,1
422,0,3,male,0,0,7.875,S,Mr,1,2
423,0,3,female,1,1,14.4,S,Mrs,3,2
424,0,3,male,1,1,20.2125,S,Mr,3,1
425,0,3,male,0,0,7.25,S,Mr,1,2
426,1,2,female,1,0,26.0,S,Mrs,2,2
427,1,2,female,0,0,26.0,S,Mrs,1,1
428,0,3,male,0,0,7.75,Q,Mr,1,2
429,1,3,male,0,0,8.05,S,Mr,1,3
430,1,1,male,0,0,26.55,S,Mr,1,2
431,1,3,female,1,0,16.1,S,Mrs,2,3
432,1,2,female,1,0,26.0,S,Mrs,2,4
433,0,3,male,0,0,7.125,S,Mr,1,0
434,0,1,male,1,0,55.9,S,Mr,2,5
435,1,1,female,1,2,120.0,S,Miss,4,0
436,0,3,female,2,2,34.375,S,Miss,5,1
437,1,2,female,2,3,18.75,S,Mrs,6,1
438,0,1,male,1,4,263.0,S,Mr,6,5
439,0,2,male,0,0,10.5,S,Mr,1,3
440,1,2,female,1,1,26.25,S,Mrs,3,5
441,0,3,male,0,0,9.5,S,Mr,1,1
442,0,3,male,1,0,7.775,S,Mr,2,2
443,1,2,female,0,0,13.0,S,Miss,1,2
444,1,3,male,0,0,8.1125,S,Mr,1,2
445,1,1,male,0,2,81.8583,S,Master,3,0
446,1,2,female,0,1,19.5,S,Miss,2,0
447,1,1,male,0,0,26.55,S,Mr,1,4
448,1,3,female,2,1,19.2583,C,Miss,4,0
449,1,1,male,0,0,30.5,S,Mr,1,5
450,0,2,male,1,2,27.75,S,Mr,4,4
451,0,3,male,1,0,19.9667,S,Mr,2,2
452,0,1,male,0,0,27.75,C,Mr,1,3
453,1,1,male,1,0,89.1042,C,Mr,2,5
454,0,3,male,0,0,8.05,S,Mr,1,2
455,1,3,male,0,0,7.8958,C,Mr,1,2
456,0,1,male,0,0,26.55,S,Mr,1,5
457,1,1,female,1,0,51.8625,S,Mrs,2,4
458,1,2,female,0,0,10.5,S,Miss,1,5
459,0,3,male,0,0,7.75,Q,Mr,1,2
460,1,1,male,0,0,26.55,S,Mr,1,5
461,0,3,male,0,0,8.05,S,Mr,1,4
462,0,1,male,0,0,38.5,S,Mr,1,5
463,0,2,male,0,0,13.0,S,Mr,1,5
464,0,3,male,0,0,8.05,S,Mr,1,2
465,0,3,male,0,0,7.05,S,Mr,1,4
466,0,2,male,0,0,0.0,S,Mr,1,3
467,0,1,male,0,0,26.55,S,Mr,1,5
468,0,3,male,0,0,7.725,Q,Mr,1,2
469,1,3,female,2,1,19.2583,C,Miss,4,0
470,0,3,male,0,0,7.25,S,Mr,1,2
471,0,3,male,0,0,8.6625,S,Mr,1,4
472,1,2,female,1,2,27.75,S,Mrs,4,3
473,1,2,female,0,0,13.7917,C,Mrs,1,1
474,0,3,female,0,0,9.8375,S,Miss,1,1
475,0,1,male,0,0,52.0,S,Mr,1,4
476,0,2,male,1,0,21.0,S,Mr,2,4
477,0,3,male,1,0,7.0458,S,Mr,2,2
478,0,3,male,0,0,7.5208,S,Mr,1,1
479,1,3,female,0,1,12.2875,S,Miss,2,0
480,0,3,male,5,2,46.9,S,Master,8,0
481,0,2,male,0,0,0.0,S,Mr,1,3
482,0,3,male,0,0,8.05,S,Mr,1,5
483,1,3,female,0,0,9.5875,S,Mrs,1,5
484,1,1,male,1,0,91.0792,C,Mr,2,2
485,0,3,female,3,1,25.4667,S,Miss,5,0
486,1,1,female,1,0,90.0,S,Mrs,2,4
487,0,1,male,0,0,29.7,C,Mr,1,5
488,0,3,male,0,0,8.05,S,Mr,1,3
489,1,3,male,1,1,15.9,S,Master,3,0
490,0,3,male,1,0,19.9667,S,Mr,2,2
491,0,3,male,0,0,7.25,S,Mr,1,1
492,0,1,male,0,0,30.5,S,Mr,1,5
493,0,1,male,0,0,49.5042,C,Mr,1,5
494,0,3,male,0,0,8.05,S,Mr,1,1
495,0,3,male,0,0,14.4583,C,Mr,1,2
496,1,1,female,1,0,78.2667,C,Miss,2,5
497,0,3,male,0,0,15.1,S,Mr,1,2
498,0,1,female,1,2,151.55,S,Mrs,4,2
499,0,3,male,0,0,7.7958,S,Mr,1,1
500,0,3,male,0,0,8.6625,S,Mr,1,0
501,0,3,female,0,0,7.75,Q,Miss,1,1
502,0,3,female,0,0,7.6292,Q,Miss,1,0
503,0,3,female,0,0,9.5875,S,Miss,1,4
504,1,1,female,0,0,86.5,S,Miss,1,0
505,0,1,male,1,0,108.9,C,Mr,2,1
506,1,2,female,0,2,26.0,S,Mrs,3,3
507,1,1,male,0,0,26.55,S,Mr,1,4
508,0,3,male,0,0,22.525,S,Mr,1,2
509,1,3,male,0,0,56.4958,S,Mr,1,2
510,1,3,male,0,0,7.75,Q,Mr,1,2
511,0,3,male,0,0,8.05,S,Mr,1,2
512,1,1,male,0,0,26.2875,S,Mr,1,4
513,1,1,female,1,0,59.4,C,Mrs,2,5
514,0,3,male,0,0,7.4958,S,Mr,1,1
515,0,1,male,0,0,34.0208,S,Mr,1,5
516,1,2,female,0,0,10.5,S,Mrs,1,4
517,0,3,male,0,0,24.15,Q,Mr,1,2
518,1,2,female,1,0,26.0,S,Mrs,2,4
519,0,3,male,0,0,7.8958,S,Mr,1,3
520,1,1,female,0,0,93.5,S,Miss,1,3
521,0,3,male,0,0,7.8958,S,Mr,1,1
522,0,3,male,0,0,7.225,C,Mr,1,2
523,1,1,female,0,1,57.9792,C,Mrs,2,5
524,0,3,male,0,0,7.2292,C,Mr,1,2
